Accumulator, Total count, Average count
RUN_EM, 696044951034, 696044951034.000000
LDA_INFERENCE, 690349007714, 9561620.605457
DIGAMMA, 191867890848, 154.157189
LOG_SUM, 178363457464, 148.110999
LOG_GAMMA, The code inside this timer has not been called, 0
DOC_E_STEP, 692206052236, 9846458.780028
LIKELIHOOD, 137123810582, 819119.080679
MLE, 3914392998, 103010342.052632
OPT_ALPHA, 21079634, 569719.837838
EM_CONVERGE, 37, 37.000000
INFERENCE_CONVERGE, 167404, 2.318615
ALPHA_CONVERGE, 30073, 812.783784
