Accumulator, Total count, Average count
RUN_EM, 2867435388912, 2867435388912.000000
LDA_INFERENCE, 2913419662240, 38742282.742553
DIGAMMA, 706460659424, 127.696497
LOG_SUM, 758410308710, 141.075182
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 49322, 40.164495
DOC_E_STEP, 2863500208102, 38906252.827473
LIKELIHOOD, 577238063684, 751304.887955
MLE, 3894884856, 82869890.553191
OPT_ALPHA, 647538, 14076.913043
EM_CONVERGE, 46, 46.000000
INFERENCE_CONVERGE, 768314, 10.216941
ALPHA_CONVERGE, 614, 13.347826
