Accumulator, Total count, Average count
RUN_EM, 1105693793376, 1105693793376.000000
LDA_INFERENCE, 1062194630322, 26554865758.049999
DIGAMMA, 182425313888, 61.641873
LOG_SUM, 298912153224, 101.343644
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 7626, 82.891304
DOC_E_STEP, 1071848647416, 26796216185.400002
LIKELIHOOD, 109915890270, 563671232.153846
MLE, 19162271886, 3832454377.200000
OPT_ALPHA, 41954, 10488.500000
EM_CONVERGE, 4, 4.000000
INFERENCE_CONVERGE, 195, 4.875000
ALPHA_CONVERGE, 46, 11.500000
