Accumulator, Total count, Average count
RUN_EM, 23925969734220, 23925969734220.000000
LDA_INFERENCE, 23809987298518, 340142675693.114258
DIGAMMA, 4106021150602, 191.297135
LOG_SUM, 4850380440746, 226.737073
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 27156, 191.239437
DOC_E_STEP, 23896139825734, 341373426081.914307
LIKELIHOOD, 2184569903922, 1560407074.230000
MLE, 27037847074, 3379730884.250000
OPT_ALPHA, 122188, 17455.428571
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 71, 10.142857
