Accumulator, Total count, Average count
RUN_EM, 32969587980228, 32969587980228.000000
LDA_INFERENCE, 32812416529160, 468748807559.428589
DIGAMMA, 5484926072500, 191.654638
LOG_SUM, 6474313956290, 226.797770
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 21112, 148.676056
DOC_E_STEP, 32929736217816, 470424803111.657166
LIKELIHOOD, 3397584566664, 2426846119.045714
MLE, 36105984160, 4513248020.000000
OPT_ALPHA, 130154, 18593.428571
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 71, 10.142857
