Accumulator, Total count, Average count
RUN_EM, 18948153905898, 18948153905898.000000
LDA_INFERENCE, 18829631409500, 268994734421.428558
DIGAMMA, 4163797185242, 193.988887
LOG_SUM, 4868299520276, 227.574722
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 27356, 192.647887
DOC_E_STEP, 18917576022178, 270251086031.114288
LIKELIHOOD, 1864139710804, 1331528364.860000
MLE, 27879914070, 3484989258.750000
OPT_ALPHA, 119462, 17066.000000
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 71, 10.142857
