Accumulator, Total count, Average count
RUN_EM, 278222283282, 278222283282.000000
LDA_INFERENCE, 257158812688, 8571960422.933333
DIGAMMA, 43904709832, 62.293804
LOG_SUM, 72531577320, 103.431732
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 8194, 91.044444
DOC_E_STEP, 260051001148, 8668366704.933332
LIKELIHOOD, 27642071914, 400609737.884058
MLE, 10356547810, 2589136952.500000
OPT_ALPHA, 32656, 10885.333333
EM_CONVERGE, 3, 3.000000
INFERENCE_CONVERGE, 69, 2.300000
ALPHA_CONVERGE, 45, 15.000000
