Accumulator, Total count, Average count
RUN_EM, 14578268344500, 14578268344500.000000
LDA_INFERENCE, 14377472332242, 42286683330.123528
DIGAMMA, 2504251391394, 60.630010
LOG_SUM, 4230732211620, 102.946659
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 674582, 63.033265
DOC_E_STEP, 14434218120012, 42453582705.917648
LIKELIHOOD, 1045775711856, 258791316.965108
MLE, 84248525294, 2407100722.685714
OPT_ALPHA, 3232282, 95067.117647
EM_CONVERGE, 34, 34.000000
INFERENCE_CONVERGE, 4041, 11.885294
ALPHA_CONVERGE, 5351, 157.382353
