Accumulator, Total count, Average count
RUN_EM, 3770050467774, 3770050467774.000000
LDA_INFERENCE, 3710799613126, 53011423044.657143
DIGAMMA, 345248690728, 192.994891
LOG_SUM, 1492647022908, 204.538406
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 25050, 184.191176
DOC_E_STEP, 3736913525164, 53384478930.914284
LIKELIHOOD, 261348417776, 186677441.268571
MLE, 6764198322, 845524790.250000
OPT_ALPHA, 150720, 21531.428571
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 68, 9.714286
