Accumulator, Total count, Average count
RUN_EM, 1158805941834, 1158805941834.000000
LDA_INFERENCE, 1138543972804, 14231799660.049999
DIGAMMA, 96696372824, 189.186776
LOG_SUM, 455506058650, 206.327144
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 23484, 148.632911
DOC_E_STEP, 1147665647518, 14345820593.975000
LIKELIHOOD, 98105508134, 61315942.583750
MLE, 2406624484, 267402720.444444
OPT_ALPHA, 168380, 21047.500000
EM_CONVERGE, 8, 8.000000
INFERENCE_CONVERGE, 1600, 20.000000
ALPHA_CONVERGE, 79, 9.875000
