Accumulator, Total count, Average count
RUN_EM, 3662160490760, 3662160490760.000000
LDA_INFERENCE, 3600967205994, 51442388657.057144
DIGAMMA, 335042559262, 187.289638
LOG_SUM, 1400654590108, 191.932622
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 23886, 175.632353
DOC_E_STEP, 3628018593066, 51828837043.800003
LIKELIHOOD, 264341661900, 188815472.785714
MLE, 6827505104, 853438138.000000
OPT_ALPHA, 149964, 21423.428571
EM_CONVERGE, 7, 7.000000
INFERENCE_CONVERGE, 1400, 20.000000
ALPHA_CONVERGE, 68, 9.714286
