Accumulator, Total count, Average count
RUN_EM, 987923124740, 987923124740.000000
LDA_INFERENCE, 982745258422, 27298479.400611
DIGAMMA, 219772833392, 374.036837
LOG_SUM, 365749843066, 538.055964
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 37930, 40.872845
DOC_E_STEP, 984619879004, 27350552.194556
LIKELIHOOD, 231621279570, 682443.369387
MLE, 3097848256, 83725628.540541
OPT_ALPHA, 493838, 13717.722222
EM_CONVERGE, 36, 36.000000
INFERENCE_CONVERGE, 339400, 9.427778
ALPHA_CONVERGE, 464, 12.888889
