Accumulator, Total count, Average count
RUN_EM, 408129565228, 408129565228.000000
LDA_INFERENCE, 404528915224, 11236914.311778
DIGAMMA, 80392634866, 136.822220
LOG_SUM, 91917433608, 135.220081
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 82862, 89.290948
DOC_E_STEP, 406244856716, 11284579.353222
LIKELIHOOD, 121913887118, 359204.145899
MLE, 1682460040, 45471892.972973
OPT_ALPHA, 355492, 9874.777778
EM_CONVERGE, 36, 36.000000
INFERENCE_CONVERGE, 339400, 9.427778
ALPHA_CONVERGE, 464, 12.888889
