Accumulator, Total count, Average count
RUN_EM, 409683948290, 409683948290.000000
LDA_INFERENCE, 405904668348, 11275129.676333
DIGAMMA, 80408044800, 136.848446
LOG_SUM, 92191116732, 135.622697
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 77692, 83.719828
DOC_E_STEP, 407780069764, 11327224.160111
LIKELIHOOD, 122446121992, 360772.309935
MLE, 1696496636, 45851260.432432
OPT_ALPHA, 346196, 9616.555556
EM_CONVERGE, 36, 36.000000
INFERENCE_CONVERGE, 339400, 9.427778
ALPHA_CONVERGE, 464, 12.888889
