Accumulator, Total count, Average count
RUN_EM, 189842484614, 189842484614.000000
LDA_INFERENCE, 187562015554, 5210055.987611
DIGAMMA, 36578058502, 62.253105
LOG_SUM, 44180417238, 64.993977
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 79076, 85.211207
DOC_E_STEP, 189349863378, 5259718.427167
LIKELIHOOD, 20173162110, 59437.719829
MLE, 283901896, 7673024.216216
OPT_ALPHA, 334106, 9280.722222
EM_CONVERGE, 36, 36.000000
INFERENCE_CONVERGE, 339400, 9.427778
ALPHA_CONVERGE, 464, 12.888889
