Accumulator, Total count, Average count
RUN_EM, 20405676491808, 20405676491808.000000
LDA_INFERENCE, 20343385674570, 89679278.781949
DIGAMMA, 2018161195854, 188.349058
LOG_SUM, 9774381119136, 236.287322
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 286696, 149.010395
DOC_E_STEP, 20400799521548, 89932374.921965
LIKELIHOOD, 1005155968986, 676844.447562
MLE, 3020726214, 29614962.882353
OPT_ALPHA, 1605322, 15894.277228
EM_CONVERGE, 101, 101.000000
INFERENCE_CONVERGE, 1485062, 6.546565
ALPHA_CONVERGE, 962, 9.524752
