Accumulator, Total count, Average count
RUN_EM, 37312204521072, 37312204521072.000000
LDA_INFERENCE, 36983499842862, 163033511.028901
DIGAMMA, 8551788000348, 193.733209
LOG_SUM, 10011035911092, 230.042381
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 328498, 158.388621
DOC_E_STEP, 37299051349510, 164424549.471933
LIKELIHOOD, 1918907625506, 1227524.238538
MLE, 12262139578, 120217054.686275
OPT_ALPHA, 1594022, 15782.396040
EM_CONVERGE, 101, 101.000000
INFERENCE_CONVERGE, 1563234, 6.891168
ALPHA_CONVERGE, 1037, 10.267327
