Accumulator, Total count, Average count
RUN_EM, 58766789876, 58766789876.000000
LDA_INFERENCE, 58024646690, 19341548.896667
DIGAMMA, 5977994152, 186.860434
LOG_SUM, 27554240880, 235.760690
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 115400, 147.193878
DOC_E_STEP, 58184243400, 19394747.800000
LIKELIHOOD, 2935706242, 165868.480818
MLE, 515307236, 16622814.064516
OPT_ALPHA, 621072, 20702.400000
EM_CONVERGE, 30, 30.000000
INFERENCE_CONVERGE, 17699, 5.899667
ALPHA_CONVERGE, 392, 13.066667
