Accumulator, Total count, Average count
RUN_EM, 143716328354, 143716328354.000000
LDA_INFERENCE, 141564964990, 2359416083.166667
DIGAMMA, 11563675704, 190.556084
LOG_SUM, 53158003022, 199.513927
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 20096, 149.970149
DOC_E_STEP, 142595456784, 2376590946.400000
LIKELIHOOD, 20535461246, 17256690.122689
MLE, 325089922, 46441417.428571
OPT_ALPHA, 128234, 21372.333333
EM_CONVERGE, 6, 6.000000
INFERENCE_CONVERGE, 1190, 19.833333
ALPHA_CONVERGE, 67, 11.166667
