Accumulator, Total count, Average count
RUN_EM, 3782436365898, 3782436365898.000000
LDA_INFERENCE, 3771423627160, 57142782.229697
DIGAMMA, 917869810786, 191.856797
LOG_SUM, 1055576579358, 227.071346
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 168096, 143.671795
DOC_E_STEP, 3781064561194, 57288856.987788
LIKELIHOOD, 186665839296, 280440.312216
MLE, 1298924186, 28864981.911111
OPT_ALPHA, 841546, 19126.045455
EM_CONVERGE, 44, 44.000000
INFERENCE_CONVERGE, 665617, 10.085106
ALPHA_CONVERGE, 585, 13.295455
