Accumulator, Total count, Average count
RUN_EM, 345722448594, 345722448594.000000
LDA_INFERENCE, 343184878038, 36901599.789032
DIGAMMA, 82727514974, 191.445102
LOG_SUM, 95793627990, 228.425221
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 118386, 143.324455
DOC_E_STEP, 344911968794, 37087308.472473
LIKELIHOOD, 16252848302, 254467.642117
MLE, 839687770, 26240242.812500
OPT_ALPHA, 588724, 18991.096774
EM_CONVERGE, 31, 31.000000
INFERENCE_CONVERGE, 63870, 6.867742
ALPHA_CONVERGE, 413, 13.322581
