Accumulator, Total count, Average count
RUN_EM, 1665950612938, 1665950612938.000000
LDA_INFERENCE, 1658995383722, 27649923062.033333
DIGAMMA, 331038417018, 195.707000
LOG_SUM, 389307954330, 231.836289
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 20618, 149.405797
DOC_E_STEP, 1662866660322, 27714444338.700001
LIKELIHOOD, 134778085496, 114607215.557823
MLE, 2795435164, 399347880.571429
OPT_ALPHA, 122526, 20421.000000
EM_CONVERGE, 6, 6.000000
INFERENCE_CONVERGE, 1176, 19.600000
ALPHA_CONVERGE, 69, 11.500000
