Accumulator, Total count, Average count
RUN_EM, 1823234742478, 1823234742478.000000
LDA_INFERENCE, 1816685196922, 61374499.896014
DIGAMMA, 441242438856, 239.474275
LOG_SUM, 524439085770, 293.020287
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 163644, 169.755187
DOC_E_STEP, 1819751600194, 61478094.601149
LIKELIHOOD, 204660598006, 787201.561652
MLE, 3441713588, 90571410.210526
OPT_ALPHA, 909332, 24576.540541
EM_CONVERGE, 37, 37.000000
INFERENCE_CONVERGE, 259985, 8.783277
ALPHA_CONVERGE, 482, 13.027027
