Accumulator, Total count, Average count
RUN_EM, 5852571827582, 5852571827582.000000
LDA_INFERENCE, 5837716887202, 70080634.900384
DIGAMMA, 1461080412802, 240.498147
LOG_SUM, 1675785457218, 283.885660
LOG_GAMMA, The code inside this timer has not been called, 0
TRIGAMMA, 17035688, 173.833551
DOC_E_STEP, 5849325729958, 70219996.758199
LIKELIHOOD, 555242530626, 655277.138606
MLE, 3193412710, 63868254.200000
OPT_ALPHA, 79899928, 1630610.775510
EM_CONVERGE, 49, 49.000000
INFERENCE_CONVERGE, 847340, 10.172149
ALPHA_CONVERGE, 49000, 1000.000000
